ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
2078,Haji Abdul Salam,Elected,"Thursday, April 10, 2014","Tuesday, February 28, 2017",First Term,Manipur,,Indian National Congress,Male,Post Graduate,"M.A. (Political Science), LL.B. Educated at Mayang Imphal High School, Manipur College, Imphal, Guwahati University, Assam and Manipur Law College, Imphal",71,2,0,0,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),45.3,0.7,160,79,2.1,0,0,87%,,Rajya Sabha
2079,Hans Raj Bhardwaj,Elected,"Monday, April 3, 2006","Wednesday, July 29, 2009",Fifth Term,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B., Doctor of Laws (Honoris Causa) Educated at G.B.C.High School, Rohtak, B.M.College, Shimla, Agra University and Panjab University, Chandigarh",82,0,0,0,100%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),3.3,0.1,19,79,4.7,0,10,86%,,Rajya Sabha
531835,Hardeep Singh Puri,Elected,"Monday, January 8, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Post Graduate,Information not available,67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Rajya Sabha
2080,Harivansh,Elected,"Thursday, April 10, 2014",In office,First Term,Bihar,,Janata Dal (United),Male,Post Graduate,"M.A. (Economics), Diploma in Journalism; Educated at BHU, Varanasi",63,110,0,518,89%,This MP was elected Deputy Chairman of RS in Aug 2018. Participation and attendance details of this MP are thus available till July 2018. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,120.9,0.1,169,79%,,Rajya Sabha
591470,Harnath Singh Yadav,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,78,49,0,150,96%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.3,0.1,76,82%,,Rajya Sabha
2081,Harshvardhan Singh Dungarpur,Elected,"Tuesday, July 5, 2016",In office,First Term,Rajasthan,,Bharatiya Janata Party,Male,Graduate,B.A. (Hon's) from St. Xavier College (University of Bombay),62,17,0,265,91%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,39.4,2.5,175,85%,,Rajya Sabha
2082,Hema Malini (RS),Elected,"Thursday, March 3, 2011","Monday, April 2, 2012",Second Term,Karnataka,,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",71,6,0,117,36%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),9.5,0.1,61,79,4.9,0.1,30,73%,,Rajya Sabha
2083,Hemant Soren,Elected,"Wednesday, June 24, 2009","Monday, January 4, 2010",First Term,Jharkhand,,Jharkhand Mukti Morcha,Male,Professional Graduate,"Engineering, Birla Institute of Technology, Mesra",44,1,0,0,22%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),6.6,0.2,50,79,7.3,0.6,50,78%,,Rajya Sabha
2084,Hishey Lachungpa,Elected,"Saturday, February 24, 2018",In office,Second Term,Sikkim,,Sikkim Democratic Front,Male,Graduate,Bachelor in Arts,52,8,0,157,47%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),109.1,1.8,430,79,8,0,157,62%,,Rajya Sabha
2085,Husain Dalwai,Elected,"Thursday, April 3, 2014",In office,Second Term,Maharashtra,,Indian National Congress,Male,Post Graduate,"M.A. (Sociology) Educated at United English School, Chiplun, Ratnagiri and Mumbai University Mumbai, Maharashtra",76,335,16,1066,88%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),114,1.9,471,79,101.2,5,700,75%,,Rajya Sabha
2086,Ishwar Singh,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",First Term,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Kurukshetra University, Kurukshetra",69,24,0,263,96%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,28.5,2.3,206,86%,,Rajya Sabha
2087,Ishwarlal Shankarlal Jain,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",First Term,Maharashtra,,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",73,17,0,616,71%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,60,2.5,511,75%,,Rajya Sabha
2088,Jabir Husain,Elected,"Monday, April 3, 2006","Monday, April 2, 2012",First Term,Bihar,,Rashtriya Janata Dal,Male,Post Graduate,"B.A. Hons. (Eng.), M.A. (Eng.) Educated under Bihar Secondary Education Board, Patna and Bihar University, Muzaffarpur",74,1,0,17,97%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),24,0.6,182,79,32.7,0.1,238,79%,,Rajya Sabha
2089,Jagat Prakash Nadda,Elected,"Tuesday, April 3, 2018",In office,Second Term,Himachal Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B., Educated at St. Xaviers School, Patna, Patna College, Patna University and Himachal University, Shimla",59,15,0,62,85%,"This MP was a minister from Nov 2014 to May 2019. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",52,0.9,210,79,59.9,0,132,89%,,Rajya Sabha
2090,Jai Prakash (RS),Elected,"Tuesday, August 4, 2009","Monday, April 2, 2012",First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Information not available,Information not available,61,0,0,132,62%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),20.3,0.5,160,79,17.1,1.2,105,82%,,Rajya Sabha
2091,Jai Prakash Narayan Singh,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",First Term,Jharkhand,,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University,70,50,1,511,86%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,35.7,0.8,395,78%,,Rajya Sabha
2092,Jairam Ramesh,Elected,"Friday, July 1, 2016",In office,Third Term,Karnataka,,Indian National Congress,Male,Post Graduate,"B.Tech., M.S. and Graduate Study Educated at I.I.T., Bombay, Carnegie Mellon University, U.S.A. and M.I.T., U.S.A.",65,166,0,0,94%,This MP was a minister till May 2014. Participation and attendance details for this MP are available from Jun 2014. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),121.1,2.1,524,79,101.9,1.9,705,73%,,Rajya Sabha
2093,Janardan Dwivedi,Elected,"Saturday, January 28, 2006","Saturday, January 27, 2018",Third Term,Delhi,,Indian National Congress,Male,Post Graduate,"M.A., M. Litt. Educated at Allahabad University and Delhi University Conferred Honorary Degree of Doctor of Letters (D.Litt.) by the Tilak Maharashtra University, Pune",74,4,0,0,99%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),100.7,2,502,79,30.7,0,186,93%,,Rajya Sabha
2094,Janardhan Waghmare,Elected,"Thursday, April 3, 2008","Wednesday, April 2, 2014",First Term,Maharashtra,,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",85,79,3,830,75%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,39.1,0.7,406,75%,,Rajya Sabha
2095,Janeshwar Mishra,Elected,"Monday, April 3, 2006","Friday, January 22, 2010",Third Term,Uttar Pradesh,,Samajwadi Party,Male,Professional Graduate,"B.A., LL.B. Educated at Ballia and Allahabad University",86,4,0,38,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),7,0.2,50,79,6.4,0.2,38,82%,,Rajya Sabha
2096,Javed Akhtar,Nominated,"Monday, March 22, 2010","Monday, March 21, 2016",First Term,,,Independent,Male,Graduate,BA,74,6,0,0,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.2,1.3,338,79,27.7,0.5,92,74%,,Rajya Sabha
2097,Javed Ali Khan,Elected,"Wednesday, November 26, 2014",In office,First Term,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A., Diploma in Civil Engineering; Educated at Jamia Milia Islamia, New Delhi and Osmania University, Hyderabad",57,96,2,58,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),84.2,1.4,285,79,104.6,0.5,266,82%,,Rajya Sabha
2098,Jaya Bachchan,Elected,"Tuesday, April 3, 2018",In office,Fourth Term,Uttar Pradesh,,Samajwadi Party,Female,Graduate,"S.S.C., Graduation Educated at St. Joseph's Convent School, Bhopal and Film & Television Institute of India, Pune",71,209,0,451,79%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,147.9,2.2,497,82%,,Rajya Sabha
2099,Jayanthi Natarajan,Elected,"Thursday, April 3, 2008","Wednesday, April 2, 2014",Fourth Term,Tamil Nadu,,Indian National Congress,Female,Professional Graduate,"B.A., B.L. Educated at Ethiraj College and Madras Law College",65,18,3,198,53%,"This MP was a minister from Jul 2011 to Dec 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",40.3,1,293,79,51.2,0.7,331,75%,,Rajya Sabha
2100,Jesudasu Seelam,Elected,"Tuesday, June 22, 2010","Tuesday, June 21, 2016",Second Term,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.Sc., M.Sc. (Chemistry) Educated at Andhra Christian College, Guntur and Andhra University, Waltair, Visakhapatnam",66,87,0,193,88%,"This MP was a minister from Jun 2013 to May 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",65.5,1.2,335,79,47.1,1.2,447,77%,,Rajya Sabha
2101,Jharna Das Baidya,Elected,"Sunday, April 3, 2016",In office,Second Term,Tripura,,Communist Party of India (Marxist),Female,Post Graduate,"B.A. (Hons.), M.A. (Bengali) ; Educated at Tulsi Bati Balika Vidyalaya, Agartala, M.B.B. College, Agartala and University of Calcutta",57,148,0,529,83%,"This MP has been re-elected/nominated. The previous term ended on Apr 2, 2016. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",122.9,2.2,539,79,148,0,529,82%,,Rajya Sabha
2102,Jogen Chowdhury,Elected,"Thursday, April 3, 2014",In office,First Term,West Bengal,,All India Trinamool Congress,Male,Graduate,"Graduation in Fine Arts, Higher Study in Fine Arts with a French Government Scholarship through Government of India Educated at Government College of Arts and Crafts, Kolkata, West Bengal and Ecole Nationale Superier des Beaux Arts, Paris, France",80,33,0,2,59%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,131.1,2.6,287,72%,,Rajya Sabha
636296,Jose K. Mani (RS),Elected,"Monday, July 2, 2018",In office,First Term,Kerala,,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",54,46,0,123,60%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,75,79,60,0.4,101,75%,,Rajya Sabha
2103,Joy Abraham,Elected,"Monday, July 2, 2012","Sunday, July 1, 2018",First Term,Kerala,,Kerala Congress (M),Male,Professional Graduate,"B.A., LL.B. Educated at St. Thomas College, Pala and Law Academy, Law College, Thiruvananthapuram",68,24,0,56,74%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),74.1,1.2,327,79,111,0.8,416,75%,,Rajya Sabha
2104,Jugul Kishore,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Inter/ Higher Secondary,"Intermediate, J.L.M.D.J. Inter College, Khairabad, Sitapur (Uttar Pradesh)",60,5,0,161,70%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,71.7,1.6,259,82%,,Rajya Sabha
2105,K G Kenye,Elected,"Sunday, April 3, 2016",In office,First Term,Nagaland,,,Male,Graduate,"BA, Kohima College, Kohima (NEHU)",58,34,0,20,44%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),60.7,0.9,201,79,39.4,0,23,45%,,Rajya Sabha
531841,K. Bhabananda Singh,Elected,"Thursday, May 25, 2017",In office,First Term,Manipur,,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL.B. Educated at Sainik School Goalpara, Assam, University of Delhi and Manipur University, Manipur",59,6,0,101,91%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),38.3,0.6,128,79,6.2,0,105,87%,,Rajya Sabha
2106,K. C. Tyagi,Elected,"Thursday, February 7, 2013","Thursday, July 7, 2016",First Term,Bihar,,Janata Dal (United),Male,Graduate,"B.Sc. Educated at Meerut University, Ghaziabad",69,202,1,471,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),44.6,0.6,178,79,66.2,0.1,150,79%,,Rajya Sabha
2107,K. K. Ragesh,Elected,"Thursday, April 23, 2015",In office,First Term,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B.; Educated at Kerala Law Academy, Law College, Thiruvananthapuram",49,254,6,518,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),73.3,1.2,254,79,111.1,0.9,296,75%,,Rajya Sabha
2108,K. Kasturirangan,Nominated,"Wednesday, August 27, 2003","Wednesday, July 8, 2009",First Term,,,Independent,Male,Doctorate,"B. Sc. (Hons.) in Physics, M.Sc. (Physics) with specialization in Electronics, Ph.D. (Astronomy and Astrophysics) Educated at Bombay University, Mumbai and Physical Research Laboratory, Gujarat University, Ahmedabad",79,0,0,0,75%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),1,0.1,4,79,0.3,0,1,74%,,Rajya Sabha
2109,K. Keshava Rao,Elected,"Thursday, April 10, 2014",In office,Second Term,Andhra Pradesh,,Telangana Rashtra Samithi,Male,Doctorate,"M.A., Ph.D. Educated at Badruk College, Arts College, Osmania University, Hyderabad",80,109,0,30,79%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),115,2.1,491,79,92,5,732,77%,,Rajya Sabha
2110,K. Malaisamy,Elected,"Wednesday, June 30, 2004","Tuesday, June 29, 2010",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai",82,29,0,126,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,15.3,0.2,74,75%,,Rajya Sabha
2111,K. Parasaran,Nominated,"Friday, June 29, 2012","Thursday, June 28, 2018",First Term,,,Independent,Male,Professional Graduate,"SSLC in 1942 from Hindu High School, Madras, completed graduation in 1949 from Presidency College, Madras and completed degree in Law in 1949 from Law College, Madras.",92,11,0,0,81%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),74.1,1.2,327,79,29.5,0.7,76,74%,,Rajya Sabha
2112,K. Rahman Khan,Elected,"Monday, April 3, 2006","Monday, April 2, 2018",Fourth Term,Karnataka,,Indian National Congress,Male,Graduate,"Bachelor of Commerce (B.Com.), Fellow Chartered Accountant (FCA) Educated at Mysore University, Mysore",80,42,0,146,76%,This MP was appointed a minister between Oct 2012 to May 2014. Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),61.8,1,230,79,44.2,0.8,269,73%,,Rajya Sabha
2113,K. Somaprasad,Elected,"Sunday, April 3, 2016",In office,First Term,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"Bachelor of Law from Academy Law College, Kerala University",61,119,0,180,89%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),60.7,0.9,201,79,96.3,0.8,236,75%,,Rajya Sabha
2114,K.B. Shanappa,Elected,"Monday, April 3, 2006","Monday, April 2, 2012",First Term,Karnataka,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Political Science) Educated at Mysore University, Mysore",81,12,0,10,91%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),24,0.6,182,79,10.3,1.3,65,73%,,Rajya Sabha
2115,K.C. Ramamurthy,Elected,"Thursday, December 5, 2019",In office,Second Term,Karnataka,,Indian National Congress,Male,Post Graduate,Master of Arts in Eco. From Bangalore University and M.A. (in Pol Sci.) from University of Mysore,66,62,1,379,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),49.9,0.8,178,79,49.8,0.6,243,73%,,Rajya Sabha
2116,K.E. Ismail,Elected,"Sunday, July 2, 2006","Sunday, July 1, 2012",First Term,Kerala,,Communist Party of India,Male,Inter/ Higher Secondary,SSLC Educated at Kizhakkenchery (Kerala),80,1,0,338,32%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),28,0.7,200,79,33.6,0.7,289,75%,,Rajya Sabha
531843,K.J. Alphons,Elected,"Friday, November 10, 2017",In office,First Term,Rajasthan,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics), B.A. Educated at North Eastern Hill University, Shillong",66,26,0,43,98%,"This MP was a minister from Nov 2017 to May 2019. Ministers represent the government, so we do not report their participation. Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",33.4,0.6,111,79,26.4,1.9,110,85%,,Rajya Sabha
2117,K.N. Balagopal,Elected,"Saturday, April 3, 2010","Saturday, April 2, 2016",First Term,Kerala,,Communist Party of India (Marxist),Male,Professional Post Graduate,"M.Com., LL.B., LL.M. ; Educated at S.N. College, Punalur, M.G. College, Trivendrum, The Law Academy, Trivendrum, Kerala University, Thiruvanathapuram (Kerala)",56,196,1,762,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.2,1.3,338,79,99.7,1.1,484,75%,,Rajya Sabha
2118,K.P. Ramalingam,Elected,"Wednesday, June 30, 2010","Wednesday, June 29, 2016",First Term,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.V.Sc. ; Educated at Madras Veterinary College, Chennai, Tamil Nadu",65,98,0,746,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,86.3,0.9,441,75%,,Rajya Sabha
2119,K.R. Arjunan,Elected,"Thursday, July 25, 2013","Wednesday, July 24, 2019",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"S.S.L.C. Educated at Higher Secondary School, Nilgiris",58,63,0,388,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),83.6,1.2,321,79,121.4,0.7,459,75%,,Rajya Sabha
2120,K.T.S. Tulsi,Nominated,"Tuesday, February 25, 2014",In office,First Term,,,Independent,Male,Graduate,"B.A. (Hons.) Political Science, LL.B. Educated at Government College, Chandigarh and Panjab University, Chandigarh",72,92,3,186,87%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,47.5,1,97,74%,,Rajya Sabha
2121,K.V. Ramalingam,Elected,"Wednesday, June 30, 2010","Friday, May 20, 2011",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Arulmigu Palani Andavar Art and Science College, Palani, Tamil Nadu",63,5,0,0,65%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),7.2,0.2,53,79,8,0,61,75%,,Rajya Sabha
2122,K.V.P. Ramachandra Rao,Elected,"Monday, June 2, 2014",In office,Third Term,Telangana,,Indian National Congress,Male,Professional Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh",71,56,7,1134,87%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,169.2,1.7,817,72%,,Rajya Sabha
2123,Kahkashan Perween,Elected,"Thursday, April 10, 2014",In office,First Term,Bihar,,Janata Dal (United),Female,Graduate,"B.A. Educated at Ranchi Women's College, Ranchi",40,258,0,139,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,120.9,0.1,169,79%,,Rajya Sabha
591471,Kailash Soni,Elected,"Tuesday, April 3, 2018",In office,First Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,68,21,0,4,99%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,26.6,0.1,80,84%,,Rajya Sabha
2124,Kalpataru Das,Elected,"Thursday, April 3, 2014","Saturday, July 25, 2015",First Term,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at B.J.B. College, Bhubaneswar, Odisha",69,11,0,41,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),22.1,0.3,68,79,23.4,0,83,77%,,Rajya Sabha
2125,Kalraj Mishra (RS),Elected,"Monday, April 3, 2006","Wednesday, March 21, 2012",Third Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi",78,55,3,356,69%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),23.1,0.6,176,79,20.2,1.3,121,82%,,Rajya Sabha
1053,Kamakhya Prasad Tasa,Elected,"Thursday, June 20, 2019",In office,First Term,Assam,,Bharatiya Janata Party,Male,Post Graduate,M.A.,44,21,0,29,95%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),22.2,0.4,38,79,18,0.5,36,84%,,Rajya Sabha
2126,Kamal Akhtar,Elected,"Monday, July 5, 2004","Sunday, July 4, 2010",First Term,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. (Hons.) in Economics, LL.B. Educated at Jamia Milia Islamia, New Delhi",48,7,0,225,71%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,8.4,0.4,58,82%,,Rajya Sabha
2127,Kanak Lata Singh,Elected,"Friday, December 13, 2013","Monday, July 4, 2016",First Term,Uttar Pradesh,,Samajwadi Party,Female,Post Graduate,"M.A. (Ancient History) Educated at Lucknow University, Lucknow",57,40,0,235,99%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),36.2,0.6,132,79,46.2,0.4,114,82%,,Rajya Sabha
591472,Kanakamedala Ravindra Kumar,Elected,"Tuesday, April 3, 2018",In office,First Term,Andhra Pradesh,,Telugu Desam Party,Male,Information not available,Information not available,62,33,0,172,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,21.3,1.4,117,77%,,Rajya Sabha
2128,Kanimozhi,Elected,"Wednesday, July 25, 2007","Thursday, May 23, 2019",Second Term,Tamil Nadu,,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),51,141,3,614,57%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),109.1,2.1,563,79,150.6,1.3,726,75%,,Rajya Sabha
2129,Kanjibhai Patel,Elected,"Monday, April 3, 2006","Monday, April 2, 2012",First Term,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat",83,6,0,258,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),24,0.6,182,79,17.5,0,170,81%,,Rajya Sabha
591473,Kanta Kardam,Elected,"Tuesday, April 3, 2018",In office,First Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,46,49,0,95,92%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,32.3,0.1,76,82%,,Rajya Sabha
2130,Kanwar Deep Singh,Elected,"Thursday, April 3, 2014",In office,Second Term,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A.,Punjabi University, Patiala (Punjab)",58,14,5,801,88%,"This MP was re-elected/nominated. During his previous term, he was affiliated with JMM; the term ended on Dec 15, 2010. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",91,1.4,308,79,131.1,2.6,287,72%,,Rajya Sabha
2131,Kapil Sibal,Elected,"Tuesday, July 5, 2016",In office,Second Term,Uttar Pradesh,,Indian National Congress,Male,Professional Post Graduate,"M.A. (History), LL. M.; Educated at St. Stephen`s College, University of Delhi, Delhi and Harward Law School, USA",71,15,0,281,69%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,67.8,0.2,179,82%,,Rajya Sabha
2132,Kapila Vatsyayan,Nominated,"Tuesday, April 10, 2007","Wednesday, February 15, 2012",Second Term,,,Independent,Female,Doctorate,"M.A. (English), M.A. (Education) Ph.D. and D. Litt. (Honoris causa) Educated at University of Delhi, University of Michigan, Ann Arbor (U.S.A.) and Banaras Hindu University, Varanasi (U.P.)",90,7,0,0,89%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),22.2,0.6,171,79,9.4,0.1,70,74%,,Rajya Sabha
2133,Kaptan Singh Solanki,Elected,"Tuesday, August 4, 2009","Sunday, July 27, 2014",Second Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed. Educated at P.G.B.T. College, Ujjain and Jiwaji University, Gwalior, Madhya Pradesh",80,24,0,374,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),39.7,1,282,79,66.1,2.5,508,84%,,Rajya Sabha
2134,Karan Singh,Elected,"Saturday, January 28, 2006","Saturday, January 27, 2018",Fourth Term,Delhi,,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Doon School, University of Jammu & Kashmir and University of Delhi",88,34,0,0,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),100.7,2,502,79,30.7,0,186,93%,,Rajya Sabha
591474,Keshav Chintaman Ketkar,Elected,"Tuesday, April 3, 2018",In office,First Term,Maharashtra,,Indian National Congress,Male,Information not available,Information not available,73,16,0,54,99%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,22.6,1.2,101,75%,,Rajya Sabha
2135,Khekiho Zhimomi,Elected,"Saturday, April 3, 2010","Thursday, November 26, 2015",Second Term,Nagaland,,Nagaland People's Front,Male,Graduate,"B.A. (Hons.) Political Science Educated at St. Joseph College, North Bengal University, Darjeeling",79,15,1,80,47%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),54.3,1.1,311,79,11.6,1.2,77,45%,,Rajya Sabha
2136,Kiranmay Nanda,Elected,"Tuesday, April 3, 2012","Monday, April 2, 2018",First Term,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"Educated at Calcutta University, Kolkata",75,91,0,435,80%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),78.1,1.4,341,79,95,0.8,298,82%,,Rajya Sabha
591475,Kirodilal Meena,Elected,"Wednesday, April 4, 2018",In office,First Term,Rajasthan,,Bharatiya Janata Party,Male,Professional Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",68,24,4,108,92%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,77,79,24.2,1.6,83,85%,,Rajya Sabha
